id,type,name,provinceId
291,Huyện,Huyện Nam Sách,30
292,Thị xã,Thị xã Kinh Môn,30
293,Huyện,Huyện Kim Thành,30
294,Huyện,Huyện Thanh Hà,30
295,Huyện,Huyện Cẩm Giàng,30
296,Huyện,Huyện Bình Giang,30
297,Huyện,Huyện Gia Lộc,30
298,Huyện,Huyện Tứ Kỳ,30
299,Huyện,Huyện Ninh Giang,30
300,Huyện,Huyện Thanh Miện,30
303,Quận,Quận Hồng Bàng,31
304,Quận,Quận Ngô Quyền,31
305,Quận,Quận Lê Chân,31
306,Quận,Quận Hải An,31
307,Quận,Quận Kiến An,31
308,Quận,Quận Đồ Sơn,31
309,Quận,Quận Dương Kinh,31
311,Huyện,Huyện Thuỷ Nguyên,31
312,Huyện,Huyện An Dương,31
313,Huyện,Huyện An Lão,31
314,Huyện,Huyện Kiến Thuỵ,31
315,Huyện,Huyện Tiên Lãng,31
316,Huyện,Huyện Vĩnh Bảo,31
317,Huyện,Huyện Cát Hải,31
318,Huyện,Huyện Bạch Long Vĩ,31
323,Thành phố,Thành phố Hưng Yên,33
325,Huyện,Huyện Văn Lâm,33
326,Huyện,Huyện Văn Giang,33
327,Huyện,Huyện Yên Mỹ,33
328,Thị xã,Thị xã Mỹ Hào,33
329,Huyện,Huyện Ân Thi,33
330,Huyện,Huyện Khoái Châu,33
331,Huyện,Huyện Kim Động,33
332,Huyện,Huyện Tiên Lữ,33
333,Huyện,Huyện Phù Cừ,33
336,Thành phố,Thành phố Thái Bình,34
338,Huyện,Huyện Quỳnh Phụ,34
339,Huyện,Huyện Hưng Hà,34
340,Huyện,Huyện Đông Hưng,34
341,Huyện,Huyện Thái Thụy,34
342,Huyện,Huyện Tiền Hải,34
343,Huyện,Huyện Kiến Xương,34
344,Huyện,Huyện Vũ Thư,34
347,Thành phố,Thành phố Phủ Lý,35
349,Thị xã,Thị xã Duy Tiên,35
350,Huyện,Huyện Kim Bảng,35
351,Huyện,Huyện Thanh Liêm,35
352,Huyện,Huyện Bình Lục,35
353,Huyện,Huyện Lý Nhân,35
356,Thành phố,Thành phố Nam Định,36
358,Huyện,Huyện Mỹ Lộc,36
359,Huyện,Huyện Vụ Bản,36
360,Huyện,Huyện Ý Yên,36
361,Huyện,Huyện Nghĩa Hưng,36
362,Huyện,Huyện Nam Trực,36
363,Huyện,Huyện Trực Ninh,36
364,Huyện,Huyện Xuân Trường,36
365,Huyện,Huyện Giao Thủy,36
366,Huyện,Huyện Hải Hậu,36
369,Thành phố,Thành phố Ninh Bình,37
370,Thành phố,Thành phố Tam Điệp,37
372,Huyện,Huyện Nho Quan,37
373,Huyện,Huyện Gia Viễn,37
374,Huyện,Huyện Hoa Lư,37
375,Huyện,Huyện Yên Khánh,37
376,Huyện,Huyện Kim Sơn,37
377,Huyện,Huyện Yên Mô,37
380,Thành phố,Thành phố Thanh Hóa,38
381,Thị xã,Thị xã Bỉm Sơn,38
382,Thành phố,Thành phố Sầm Sơn,38
384,Huyện,Huyện Mường Lát,38
385,Huyện,Huyện Quan Hóa,38
386,Huyện,Huyện Bá Thước,38
387,Huyện,Huyện Quan Sơn,38
388,Huyện,Huyện Lang Chánh,38
389,Huyện,Huyện Ngọc Lặc,38
390,Huyện,Huyện Cẩm Thủy,38
391,Huyện,Huyện Thạch Thành,38
392,Huyện,Huyện Hà Trung,38
393,Huyện,Huyện Vĩnh Lộc,38
394,Huyện,Huyện Yên Định,38
395,Huyện,Huyện Thọ Xuân,38
396,Huyện,Huyện Thường Xuân,38
397,Huyện,Huyện Triệu Sơn,38
398,Huyện,Huyện Thiệu Hóa,38
399,Huyện,Huyện Hoằng Hóa,38
400,Huyện,Huyện Hậu Lộc,38
401,Huyện,Huyện Nga Sơn,38
402,Huyện,Huyện Như Xuân,38
403,Huyện,Huyện Như Thanh,38
404,Huyện,Huyện Nông Cống,38
405,Huyện,Huyện Đông Sơn,38
406,Huyện,Huyện Quảng Xương,38
407,Thị xã,Thị xã Nghi Sơn,38
412,Thành phố,Thành phố Vinh,40
413,Thị xã,Thị xã Cửa Lò,40
414,Thị xã,Thị xã Thái Hoà,40
415,Huyện,Huyện Quế Phong,40
416,Huyện,Huyện Quỳ Châu,40
417,Huyện,Huyện Kỳ Sơn,40
418,Huyện,Huyện Tương Dương,40
419,Huyện,Huyện Nghĩa Đàn,40
420,Huyện,Huyện Quỳ Hợp,40
421,Huyện,Huyện Quỳnh Lưu,40
422,Huyện,Huyện Con Cuông,40
423,Huyện,Huyện Tân Kỳ,40
424,Huyện,Huyện Anh Sơn,40
425,Huyện,Huyện Diễn Châu,40
426,Huyện,Huyện Yên Thành,40
427,Huyện,Huyện Đô Lương,40
428,Huyện,Huyện Thanh Chương,40
429,Huyện,Huyện Nghi Lộc,40
430,Huyện,Huyện Nam Đàn,40
431,Huyện,Huyện Hưng Nguyên,40
432,Thị xã,Thị xã Hoàng Mai,40
436,Thành phố,Thành phố Hà Tĩnh,42
437,Thị xã,Thị xã Hồng Lĩnh,42
439,Huyện,Huyện Hương Sơn,42
440,Huyện,Huyện Đức Thọ,42
441,Huyện,Huyện Vũ Quang,42
442,Huyện,Huyện Nghi Xuân,42
443,Huyện,Huyện Can Lộc,42
444,Huyện,Huyện Hương Khê,42
445,Huyện,Huyện Thạch Hà,42
446,Huyện,Huyện Cẩm Xuyên,42
447,Huyện,Huyện Kỳ Anh,42
448,Huyện,Huyện Lộc Hà,42
449,Thị xã,Thị xã Kỳ Anh,42
450,Thành phố,Thành Phố Đồng Hới,44
452,Huyện,Huyện Minh Hóa,44
453,Huyện,Huyện Tuyên Hóa,44
454,Huyện,Huyện Quảng Trạch,44
455,Huyện,Huyện Bố Trạch,44
456,Huyện,Huyện Quảng Ninh,44
457,Huyện,Huyện Lệ Thủy,44
458,Thị xã,Thị xã Ba Đồn,44
461,Thành phố,Thành phố Đông Hà,45
462,Thị xã,Thị xã Quảng Trị,45
464,Huyện,Huyện Vĩnh Linh,45
465,Huyện,Huyện Hướng Hóa,45
466,Huyện,Huyện Gio Linh,45
467,Huyện,Huyện Đa Krông,45
468,Huyện,Huyện Cam Lộ,45
469,Huyện,Huyện Triệu Phong,45
470,Huyện,Huyện Hải Lăng,45
471,Huyện,Huyện Cồn Cỏ,45
474,Thành phố,Thành phố Huế,46
476,Huyện,Huyện Phong Điền,46
477,Huyện,Huyện Quảng Điền,46
478,Huyện,Huyện Phú Vang,46
479,Thị xã,Thị xã Hương Thủy,46
480,Thị xã,Thị xã Hương Trà,46
481,Huyện,Huyện A Lưới,46
482,Huyện,Huyện Phú Lộc,46
483,Huyện,Huyện Nam Đông,46
490,Quận,Quận Liên Chiểu,48
491,Quận,Quận Thanh Khê,48
492,Quận,Quận Hải Châu,48
493,Quận,Quận Sơn Trà,48
494,Quận,Quận Ngũ Hành Sơn,48
495,Quận,Quận Cẩm Lệ,48
497,Huyện,Huyện Hòa Vang,48
498,Huyện,Huyện Hoàng Sa,48
502,Thành phố,Thành phố Tam Kỳ,49
503,Thành phố,Thành phố Hội An,49
504,Huyện,Huyện Tây Giang,49
505,Huyện,Huyện Đông Giang,49
506,Huyện,Huyện Đại Lộc,49
507,Thị xã,Thị xã Điện Bàn,49
508,Huyện,Huyện Duy Xuyên,49
509,Huyện,Huyện Quế Sơn,49
510,Huyện,Huyện Nam Giang,49
511,Huyện,Huyện Phước Sơn,49
512,Huyện,Huyện Hiệp Đức,49
513,Huyện,Huyện Thăng Bình,49
514,Huyện,Huyện Tiên Phước,49
515,Huyện,Huyện Bắc Trà My,49
516,Huyện,Huyện Nam Trà My,49
517,Huyện,Huyện Núi Thành,49
518,Huyện,Huyện Phú Ninh,49
